UID DA TOMADA,CIDADE,MORADA,OPERADOR,CCS2 Custo €,TYPE2 7kW Custo €,TYPE2 22kW Custo €,Duração (minutos) até 130kW,Duração (minutos) até 7kW,Duração (minutos) até 22kW,POTÊNCIA DA TOMADA (kW),TARIFA 1,TARIFA 2,TARIFA 3,TIPO DE TOMADA,FORMATO DA TOMADA,ESTADO DO POSTO,ESTADO DA TOMADA
VNG-90005-01,Vila Nova de Gaia,Rua Barão Corvo ,GLP - Galp,0.448,3.444,0.850,75,583,144,37.0,"€0,0059/min ",,,Mennekes,SOCKET,Disponível,Disponível
VNG-90005-02,Vila Nova de Gaia,Rua Barão Corvo ,GLP - Galp,0.448,3.444,0.850,75,583,144,37.0,"€0,0059/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-90080-03,Porto,Rua António Bessa Leite,KLC - Atlante,0.683,5.254,1.296,75,583,144,37.0,"€0,009/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-90080-02,Porto,Rua António Bessa Leite,KLC - Atlante,0.683,5.254,1.296,75,583,144,37.0,"€0,009/min ",,,Mennekes,SOCKET,Disponível,Em uso
PRT-90080-04,Porto,Rua António Bessa Leite,KLC - Atlante,0.683,5.254,1.296,75,583,144,37.0,"€0,009/min ",,,Mennekes,SOCKET,Disponível,Disponível
PRT-90080-01,Porto,Rua António Bessa Leite,KLC - Atlante,0.683,5.254,1.296,75,583,144,37.0,"€0,009/min ",,,Mennekes,SOCKET,Disponível,Disponível
VNG-90009-2,Vila Nova de Gaia,Rua São Cristóvão Mafamude,KLC - Atlante,0.683,5.254,1.296,75,583,144,37.0,"€0,009/min ",,,Mennekes,SOCKET,Disponível,Disponível
VNG-90009-1,Vila Nova de Gaia,Rua São Cristóvão Mafamude,KLC - Atlante,0.683,5.254,1.296,75,583,144,37.0,"€0,009/min ",,,Mennekes,SOCKET,Disponível,Disponível
GDM-00021-01,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,0.866,9.054,2.457,37,583,144,74.0,"€0,297/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
GDM-00021-02,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,0.866,9.054,2.457,37,583,144,74.0,"€0,297/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
GDM-00022-02,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,0.866,9.054,2.457,37,583,144,74.0,"€0,297/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
GDM-00022-01,Gondomar,"Praceta Parque Nascente, 35",EDP - EDP Comercial,0.866,9.054,2.457,37,583,144,74.0,"€0,297/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
VNG-00029-1,Vila Nova de Gaia,Rua da Baiza,PRI - Prio,0.869,9.057,2.460,37,583,144,74.0,"€0,3/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
VNG-00029-2,Vila Nova de Gaia,Rua da Baiza,PRI - Prio,0.869,9.057,2.460,37,583,144,74.0,"€0,3/charge ","€0,015/min ",,Mennekes,SOCKET,Disponível,Disponível
PRT-90086-2,Porto,Rua Ofélia Diogo da Costa,EDP - EDP Comercial,0.893,4.086,1.008,127,583,144,22.0,"€0,007/min ",,,Mennekes,SOCKET,Disponível,Disponível
