"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"LRA-00084";"LRA-00084-02";"Semirrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T16:59:02.094Z"
"LRA-00084";"LRA-00084-01";"Semirrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T16:59:02.094Z"
"LRA-00085";"LRA-00085-02";"Semirrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T12:40:50.743Z"
"LRA-00085";"LRA-00085-01";"Semirrápido";"Disponível";"Leiria";"Rua Santo André, Leiria";"EDP - EDP Comercial";"Não";"Média Tensão";"€0,297/charge ";"€0,03/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-05-11T12:40:50.743Z"
"LRA-00087";"LRA-00087-01";"Rápido";"Disponível";"Leiria";"Rua do Alto Vieiro";"GLP - Galp";"Não";"Baixa Tensão Especial";"€0,5/charge ";"€0,35/kWh ";"€0/min ";"CCS";"CABLE";"60";"Disponível";"2023-05-11T18:45:53.436Z"
"LRA-00087";"LRA-00087-02";"Rápido";"Disponível";"Leiria";"Rua do Alto Vieiro";"GLP - Galp";"Não";"Baixa Tensão Especial";"€0,5/charge ";"€0,35/kWh ";"€0/min ";"CCS";"CABLE";"60";"Disponível";"2023-05-11T18:45:53.436Z"
"LRA-00088";"LRA-00088-03";"Rápido";"Disponível";"Leiria";"A1 km 125,7 (Sentido Norte/Sul)";"PRP - Propel - Produto do Petróleo";"Não";"Média Tensão";"€0,2608/charge ";"€0,15/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-05-11T17:26:16.938Z"
"LRA-00088";"LRA-00088-02";"Rápido";"Disponível";"Leiria";"A1 km 125,7 (Sentido Norte/Sul)";"PRP - Propel - Produto do Petróleo";"Não";"Média Tensão";"€0,2608/charge ";"€0,15/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-05-11T17:26:16.938Z"
"LRA-00088";"LRA-00088-01";"Rápido";"Disponível";"Leiria";"A1 km 125,7 (Sentido Norte/Sul)";"PRP - Propel - Produto do Petróleo";"Não";"Média Tensão";"€0,2608/charge ";"€0,15/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-05-11T17:26:16.938Z"
"LRA-00089";"LRA-00089-02";"Rápido";"Disponível";"Leiria";"A1 km 125,7 (Sentido Sul/Norte)";"PRP - Propel - Produto do Petróleo";"Não";"Média Tensão";"€0,2608/charge ";"€0,15/min ";"";"CCS";"CABLE";"50";"Em uso";"2023-05-11T18:19:19.91Z"
