"ID";"UID DA TOMADA";"TIPO DE CARREGAMENTO";"ESTADO DO POSTO";"CIDADE";"MORADA";"OPERADOR";"MOBICHARGER";"NÍVEL DE TENSÃO";"TARIFA 1";"TARIFA 2";"TARIFA 3";"TIPO DE TOMADA";"FORMATO DA TOMADA";"POTÊNCIA DA TOMADA (kW)";"ESTADO DA TOMADA";"ÚLTIMA ATUALIZAÇÃO"
"PRT-00168";"PRT-00168-03";"Rápido";"Disponível";"Porto";"R. Sousa Prata 678";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-04-23T14:20:05.102Z"
"PRT-00168";"PRT-00168-02";"Rápido";"Disponível";"Porto";"R. Sousa Prata 678";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-04-23T14:20:05.102Z"
"PRT-00169";"PRT-00169-02";"Rápido";"Disponível";"Porto";"R. Sousa Prata 678";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-04-23T11:15:51.797Z"
"PRT-00169";"PRT-00169-01";"Rápido";"Disponível";"Porto";"R. Sousa Prata 678";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T11:15:51.797Z"
"PRT-00169";"PRT-00169-03";"Rápido";"Disponível";"Porto";"R. Sousa Prata 678";"HRZ - Power dot";"Não";"Baixa Tensão Especial";"€0,3/charge ";"€0,075/min ";"";"Mennekes";"CABLE";"43";"Disponível";"2023-04-23T11:15:51.797Z"
"PRT-00170";"PRT-00170-01";"Semirrápido";"Disponível";"Porto";"Avenida da Boavista 171";"GLP - Galp";"Não";"Média Tensão";"€0,2608/charge ";"€0,039/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-22T15:41:19.508Z"
"PRT-00170";"PRT-00170-02";"Semirrápido";"Disponível";"Porto";"Avenida da Boavista 171";"GLP - Galp";"Não";"Média Tensão";"€0,2608/charge ";"€0,039/min ";"";"Mennekes";"SOCKET";"22";"Disponível";"2023-04-22T15:41:19.508Z"
"PRT-00171";"PRT-00171-02";"Rápido";"Disponível";"Porto";"RUA DO GÓLGOTA";"GLG - Galpgeste";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,12/min ";"";"CCS";"CABLE";"50";"Disponível";"2023-04-23T14:26:58.98Z"
"PRT-00171";"PRT-00171-01";"Rápido";"Disponível";"Porto";"RUA DO GÓLGOTA";"GLG - Galpgeste";"Não";"Baixa Tensão Especial";"€0,2608/charge ";"€0,12/min ";"";"CHAdeMO";"CABLE";"50";"Disponível";"2023-04-23T14:26:58.98Z"
"PRT-00172";"PRT-00172-03";"Rápido";"Disponível";"Porto";"Estr. da CircunvalaÃ§Ã£o 12 843,";"KLC - Atlante";"Não";"Baixa Tensão Especial";"€0,2964/charge ";"€0,06/min ";"";"Mennekes";"CABLE";"22";"Disponível";"2023-04-22T08:06:42.604Z"
